TimeStamp,POS_X,POS_Y,POS_Z,
114,197,216,50,753.171426
114.5,197,217,50,753.171426
115,199,209,51,753.3176903
115.5,199,209,49,753.3176903
116,199,210,51,753.3176903
116.5,199,210,49,753.3176903
117,199,211,51,753.3176903
117.5,199,211,49,753.3176903
118,199,212,51,753.3176903
118.5,199,212,49,753.3176903
119,199,213,51,753.3176903
119.5,199,213,49,753.3176903
120,199,214,51,753.3176903
120.5,199,214,49,753.3176903
121,199,215,51,753.3176903
121.5,199,215,49,753.3176903
122,199,216,51,753.3176903
122.5,199,216,49,753.3176903
123,199,217,51,753.3176903
123.5,199,217,49,753.3176903
124,196,207,50,753.7572124
124.5,197,206,50,753.7572124
125,196,208,50,753.7572124
125.5,198,206,50,753.7572124
126,196,209,50,753.7572124
126.5,199,206,50,753.7572124
127,196,210,50,753.7572124
127.5,200,206,50,753.7572124
128,196,211,50,753.7572124
128.5,196,212,50,753.7572124
129,196,213,50,753.7572124
129.5,196,214,50,753.7572124
130,196,215,50,753.7572124
130.5,196,216,50,753.7572124
131,196,217,50,753.7572124
131.5,201,206,50,753.7572124
132,202,206,50,753.7572124
132.5,203,206,50,753.7572124
133,204,206,50,753.7572124
133.5,205,206,50,753.7572124
134,206,206,50,753.7572124
134.5,207,206,50,753.7572124
135,208,206,50,753.7572124
135.5,209,206,50,753.7572124
136,210,206,50,753.7572124
136.5,211,207,50,753.171426
137,212,208,50,752.5856395
137.5,213,209,50,751.9998531
138,214,210,50,751.4140667
138.5,215,211,50,750.8282802
139,216,212,50,750.2424938
139.5,217,213,50,749.6567073
140,218,214,50,749.0709209
140.5,219,215,50,748.4851345
141,220,216,50,747.899348
141.5,221,217,50,747.3135616
142,222,218,50,746.7277752
142.5,223,219,50,746.1419887
143,224,220,50,745.5562023
143.5,225,221,50,744.9704158
144,226,222,50,744.3846294
144.5,227,223,50,743.798843
145,228,224,50,743.2130565
145.5,229,225,50,742.6272701
146,230,226,50,742.0414837
146.5,231,227,50,741.4556972
147,232,228,50,740.8699108
147.5,233,229,50,740.2841243
148,234,230,50,739.6983379
148.5,235,231,50,739.1125515
149,236,232,50,738.526765
149.5,237,233,50,737.9409786
150,238,234,50,737.3551922
150.5,239,235,50,736.7694057
151,240,236,50,736.1836193
151.5,241,237,50,735.5978328
152,242,238,50,735.0120464
152.5,243,239,50,734.42626
153,244,239,50,734.42626
153.5,245,239,50,734.42626
154,246,239,50,734.42626
154.5,247,240,50,733.8404735
155,248,241,50,733.2546871
155.5,249,242,50,732.6689007
156,250,243,50,732.0831142
156.5,251,244,50,731.4973278
157,252,245,50,730.9115413
157.5,253,246,50,730.3257549
158,254,247,50,729.7399685
158.5,255,248,50,729.154182
159,256,249,50,728.5683956
159.5,257,250,50,727.9826092
160,258,251,50,727.3968227
160.5,259,252,50,726.8110363
161,260,253,50,726.2252498
161.5,261,254,50,725.6394634
162,262,255,50,725.053677
162.5,263,256,50,724.4678905
163,264,257,50,723.8821041
163.5,265,258,50,723.2963177
164,266,259,50,722.7105312
164.5,267,260,50,722.1247448
165,268,261,50,721.5389583
165.5,269,262,50,720.9531719
166,270,263,50,720.3673855
166.5,271,264,50,719.781599
167,272,265,50,719.1958126
167.5,273,266,50,718.6100262
168,274,267,50,718.0242397
168.5,275,268,50,717.4384533
169,276,269,50,716.8526668
169.5,277,270,50,716.2668804
170,278,271,50,715.681094
170.5,279,272,50,715.0953075
171,280,273,50,714.5095211
171.5,281,274,50,713.9237347
172,282,275,50,713.3379482
172.5,283,276,50,712.7521618
173,284,277,50,712.1663753
173.5,285,278,50,711.5805889
174,286,279,50,710.9948025
174.5,287,280,50,710.409016
175,288,281,50,709.8232296
175.5,289,282,50,709.2374431
176,290,283,50,708.6516567
176.5,291,284,50,708.0658703
177,292,285,50,707.4800838
177.5,293,286,50,706.8942974
178,294,287,50,706.308511
178.5,295,288,50,705.7227245
179,296,289,50,705.1369381
179.5,297,290,50,704.5511516
180,298,291,50,703.9653652
180.5,299,292,50,703.3795788
181,300,293,50,702.7937923
181.5,301,294,50,702.2080059
182,302,295,50,701.6222195
182.5,303,296,50,701.036433
183,304,297,50,700.4506466
183.5,305,298,50,699.8648601
184,306,299,50,699.2790737
184.5,307,300,50,698.6932873
185,308,301,50,698.1075008
185.5,309,302,50,697.5217144
186,310,303,50,696.935928
186.5,311,304,50,696.3501415
187,312,305,50,695.7643551
187.5,313,306,50,695.1785686
188,314,307,50,694.5927822
188.5,315,308,50,694.0069958
189,316,309,50,693.4212093
189.5,317,310,50,692.8354229
190,318,311,50,692.2496365
190.5,319,312,50,691.66385
191,320,313,50,691.0780636
191.5,321,314,50,690.4922771
192,322,315,50,689.9064907
192.5,323,316,50,689.3207043
193,324,317,50,688.7349178
193.5,325,318,50,688.1491314
194,326,319,50,687.563345
194.5,327,320,50,686.9775585
195,328,321,50,686.3917721
195.5,329,322,50,685.8059856
196,330,323,50,685.2201992
196.5,331,324,50,684.6344128
197,332,325,50,684.0486263
197.5,333,326,50,683.4628399
198,334,327,50,682.8770535
198.5,335,328,50,682.291267
199,336,329,50,681.7054806
199.5,337,330,50,681.1196941
200,338,331,50,680.5339077
200.5,339,332,50,679.9481213
201,340,333,50,679.3623348
201.5,341,334,50,678.7765484
202,342,335,50,678.190762
202.5,343,336,50,677.6049755
203,344,337,50,677.0191891
203.5,345,338,50,676.4334026
204,346,339,50,675.8476162
204.5,347,340,50,675.2618298
205,348,341,50,674.6760433
205.5,349,342,50,674.0902569
206,350,343,50,673.5044705
206.5,351,344,50,672.918684
207,352,345,50,672.3328976
207.5,353,346,50,671.7471111
208,354,347,50,671.1613247
208.5,355,348,50,670.5755383
209,356,349,50,669.9897518
209.5,357,350,50,669.4039654
210,358,351,50,668.818179
210.5,359,352,50,668.2323925
211,360,353,50,667.6466061
211.5,361,354,50,667.0608196
212,362,355,50,666.4750332
212.5,363,356,50,665.8892468
213,364,357,50,665.3034603
213.5,365,358,50,664.7176739
214,366,359,50,664.1318875
214.5,367,360,50,663.546101
215,368,361,50,662.9603146
215.5,369,362,50,662.3745281
216,370,363,50,661.7887417
216.5,371,364,50,661.2029553
217,372,365,50,660.6171688
217.5,373,366,50,660.0313824
218,374,367,50,659.445596
218.5,375,368,50,658.8598095
219,376,369,50,658.2740231
219.5,377,370,50,657.6882366
220,378,371,50,657.1024502
220.5,379,372,50,656.5166638
221,380,373,50,655.9308773
221.5,381,374,50,655.3450909
222,382,375,50,654.7593045
222.5,383,376,50,654.173518
223,384,377,50,653.5877316
223.5,385,378,50,653.0019451
224,386,378,50,653.0019451
224.5,387,378,50,653.0019451
225,388,378,50,653.0019451
225.5,389,378,50,653.0019451
226,390,378,50,653.0019451
226.5,391,378,50,653.0019451
227,392,378,50,653.0019451
227.5,393,378,50,653.0019451
228,394,379,50,652.4161587
228.5,395,380,50,651.8303723
229,396,381,50,651.2445858
229.5,397,382,50,650.6587994
230,398,383,50,650.0730129
230.5,399,384,50,649.4872265
231,399,385,50,649.4872265
231.5,399,386,50,649.4872265
232,399,387,50,649.4872265
232.5,399,388,50,649.4872265
233,399,389,50,649.4872265
233.5,399,390,50,649.4872265
234,399,391,50,649.4872265
234.5,399,392,50,649.4872265
235,399,393,50,649.4872265
235.5,399,394,50,649.4872265
236,400,395,50,648.9014401
236.5,401,396,50,648.3156536
237,402,397,50,647.7298672
237.5,403,398,50,647.1440808
238,404,399,50,646.5582943
238.5,405,400,50,645.9725079
239,406,401,50,645.3867214
239.5,407,402,50,644.800935
240,408,403,50,644.2151486
240.5,409,404,50,643.6293621
241,410,405,50,643.0435757
241.5,411,406,50,642.4577893
242,412,407,50,641.8720028
242.5,413,408,50,641.2862164
243,414,409,50,640.7004299
243.5,415,410,50,640.1146435
244,416,411,50,639.5288571
244.5,417,412,50,638.9430706
245,418,413,50,638.3572842
245.5,419,414,50,637.7714978
246,420,415,50,637.1857113
246.5,421,416,50,636.5999249
247,422,417,50,636.0141384
247.5,423,418,50,635.428352
248,424,419,50,634.8425656
248.5,425,420,50,634.2567791
249,426,420,50,634.2567791
249.5,427,420,50,634.2567791
250,428,420,50,634.2567791
250.5,429,420,50,634.2567791
251,430,420,50,634.2567791
251.5,431,420,50,634.2567791
252,432,420,50,634.2567791
252.5,433,420,50,634.2567791
253,434,420,50,634.2567791
253.5,435,420,50,634.2567791
254,436,420,50,634.2567791
254.5,437,420,50,634.2567791
255,438,420,50,634.2567791
255.5,439,420,50,634.2567791
256,440,420,50,634.2567791
256.5,441,420,50,634.2567791
257,442,420,50,634.2567791
257.5,443,420,50,634.2567791
258,444,420,50,634.2567791
258.5,445,420,50,634.2567791
259,446,420,50,634.2567791
259.5,447,420,50,634.2567791
260,448,420,50,634.2567791
260.5,449,420,50,634.2567791
